periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,105-EP01b. Malaria Total,105-EP01c. Malaria Confirmed (B/s and RDT Positive),105-EP01d. Malaria cases treated,105-MC04. Malaria in pregnancy,105-PS01a. Malaria Microscopy - Done,105-PS01b. Malaria Microscopy - Positive,105-PS02a. Malaria RDTs - Done,105-PS02b. Malaria RDTs - Positive,105-SS11a. Malaria Rapid Diagnostic tests - Quantity consumed,105-SS11b. Malaria Rapid Diagnostic tests - Days out of stock,105-SS11c. Malaria Rapid Diagnostic tests - Stock on hand,105-SS11d. Malaria Rapid Diagnostic tests - Quantity Expired
202303,March 2023,202303,,auzuV39xOTU,5th Military Division Health Centre IV,,,114.0,114.0,114.0,,485.0,69.0,114.0,45.0,300.0,0.0,800.0,0.0
202303,March 2023,202303,,b2LlvIFGc5U,AAR Gulu Clinic,,,,,,,,,,,,,,
202303,March 2023,202303,,aGfndLfPcOz,Abilonino Health Centre II,,,173.0,173.0,173.0,0.0,,,285.0,173.0,3000.0,0.0,2575.0,0.0
202303,March 2023,202303,,JryqknC2SNp,Abwoch Health Centre III,,,176.0,176.0,176.0,,12.0,7.0,308.0,164.0,700.0,0.0,1925.0,0.0
202303,March 2023,202303,,aaEtUWpmosm,Acet Community Oriented Clinic,,,,,,,,,,,,,,
202303,March 2023,202303,,b5RkGqLLhrM,Acet Health Centre III,,,970.0,402.0,402.0,10.0,,,980.0,,980.0,0.0,3148.0,0.0
202303,March 2023,202303,,KgFiiUmrRxI,Acholi-Bur Health Centre III,,,355.0,355.0,355.0,6.0,52.0,18.0,819.0,337.0,1025.0,0.0,4675.0,0.0
202303,March 2023,202303,,aKoVWgIufTx,Acholpii Health Centre III,,,449.0,449.0,449.0,8.0,1.0,0.0,888.0,449.0,888.0,0.0,3812.0,0.0
202303,March 2023,202303,,wLkwoyLOOZe,Acuru Health Centre II,,,265.0,265.0,265.0,16.0,,,,,500.0,0.0,1875.0,0.0
202303,March 2023,202303,,FvewOonC8lS,Adilang Health Centre III,OU_01,,299.0,299.0,299.0,2.0,,,1136.0,269.0,1275.0,0.0,1925.0,0.0
202303,March 2023,202303,,CkUZza1MI3Y,Agonga Karine Community Health Centre II,,,89.0,66.0,66.0,,77.0,58.0,62.0,7.0,150.0,0.0,400.0,0.0
202303,March 2023,202303,,tvKjvN8d4rR,Agoro Health Centre III,,,377.0,377.0,377.0,,1.0,1.0,900.0,377.0,900.0,0.0,2950.0,0.0
202303,March 2023,202303,,GHx4dLfIox3,Akilok Health Centre II,,,85.0,85.0,85.0,2.0,,,318.0,85.0,300.0,0.0,3500.0,0.0
202303,March 2023,202303,,aWMoXZucGiV,Akuna Laber Health Centre III,,,434.0,431.0,431.0,15.0,25.0,12.0,994.0,422.0,1125.0,0.0,6375.0,0.0
202303,March 2023,202303,,QgpawnbKpCj,Akurumor Health Centre II,,,79.0,79.0,79.0,3.0,,,223.0,79.0,223.0,0.0,3000.0,0.0
202303,March 2023,202303,,pkhPSHZSnr3,Akworo Health Centre III,,,1715.0,1715.0,1715.0,16.0,34.0,15.0,3333.0,1673.0,3160.0,0.0,100.0,0.0
202303,March 2023,202303,,EPyMwPkmKPx,Alero Health Centre III,,,300.0,300.0,300.0,1.0,,,1420.0,560.0,1675.0,0.0,275.0,0.0
