periodname,organisationunitname,105-EP01c. Malaria Confirmed (B/s and RDT Positive),outlier
2023-03-01,5th Military Division Health Centre IV,114.0,True
2023-04-01,5th Military Division Health Centre IV,178.0,False
2023-05-01,5th Military Division Health Centre IV,268.0,False
2023-06-01,5th Military Division Health Centre IV,328.0,False
2023-07-01,5th Military Division Health Centre IV,225.0,False
2023-08-01,5th Military Division Health Centre IV,399.0,False
2023-09-01,5th Military Division Health Centre IV,387.0,False
2023-10-01,5th Military Division Health Centre IV,314.0,False
2023-11-01,5th Military Division Health Centre IV,410.0,False
2023-12-01,5th Military Division Health Centre IV,462.0,False
2024-01-01,5th Military Division Health Centre IV,497.0,True
2024-02-01,5th Military Division Health Centre IV,283.0,False
2023-03-01,AAR Gulu Clinic,101.44444444444444,False
2023-04-01,AAR Gulu Clinic,58.0,True
2023-05-01,AAR Gulu Clinic,151.0,True
2023-06-01,AAR Gulu Clinic,107.0,False
2023-07-01,AAR Gulu Clinic,96.0,False
2023-08-01,AAR Gulu Clinic,87.0,False
2023-09-01,AAR Gulu Clinic,92.0,False
2023-10-01,AAR Gulu Clinic,115.0,False
2023-11-01,AAR Gulu Clinic,101.44444444444444,False
2023-12-01,AAR Gulu Clinic,129.0,False
2024-01-01,AAR Gulu Clinic,101.44444444444444,False
2024-02-01,AAR Gulu Clinic,78.0,False
2023-03-01,Abilonino Health Centre II,173.0,False
2023-04-01,Abilonino Health Centre II,91.0,True
2023-05-01,Abilonino Health Centre II,204.0,False
2023-06-01,Abilonino Health Centre II,325.0,False
2023-07-01,Abilonino Health Centre II,566.0,False
2023-08-01,Abilonino Health Centre II,493.0,False
2023-09-01,Abilonino Health Centre II,630.0,False
2023-10-01,Abilonino Health Centre II,732.0,True
2023-11-01,Abilonino Health Centre II,404.0,False
2023-12-01,Abilonino Health Centre II,457.0,False
2024-01-01,Abilonino Health Centre II,281.0,False
2024-02-01,Abilonino Health Centre II,396.0,False
2023-03-01,Abwoch Health Centre III,176.0,True
2023-04-01,Abwoch Health Centre III,234.0,False
2023-05-01,Abwoch Health Centre III,516.0,False
2023-06-01,Abwoch Health Centre III,403.0,False
2023-07-01,Abwoch Health Centre III,472.0,False
2023-08-01,Abwoch Health Centre III,315.0,False
2023-09-01,Abwoch Health Centre III,444.0,False
2023-10-01,Abwoch Health Centre III,389.0,False
2023-11-01,Abwoch Health Centre III,574.0,False
2023-12-01,Abwoch Health Centre III,616.0,True
2024-01-01,Abwoch Health Centre III,211.0,False
2024-02-01,Abwoch Health Centre III,395.45454545454544,False
